Project information
"Customer name","Organization","Project name","Part number","Drawing number","GD&T standard","Units"
"","","","","","ASME Y14.5","mm"

Part information
"Part name","Date","Time","Part serial number","Operator name","Email address","Device"
"Part 1","21/8/2026","5:28 PM","","","",""
"Part 2","21/8/2026","5:47 PM","","","",""

"Part","Name","Type","Alignment","Dimension","Tolerance","Nominal","Measured","Deviation","OutOfTolerance","Status"
"Part 1","Distance 1","Distance","Surface best fit 1","Y","±1.000",62.000,61.712,-0.288,,"Passed"
"Part 1","Distance 2","Distance","Surface best fit 1","X","±1.000",165.000,166.202,1.202,0.202,"Failed"
"Part 1","Distance 3","Distance","Surface best fit 1","X","±1.000",53.320,53.113,-0.207,,"Passed"
"Part 1","Distance 3","Distance","Surface best fit 1","Y","±1.000",10.482,10.539,0.057,,"Passed"
"Part 1","Circle 1","Circle","Surface best fit 1","X","±1.000",-615.487,-615.629,-0.142,,"Passed"
"Part 1","Circle 1","Circle","Surface best fit 1","Y","±1.000",-264.924,-264.732,0.192,,"Passed"
"Part 1","Circle 1","Circle","Surface best fit 1","Z","±1.000",-31.049,-30.769,0.280,,"Passed"
"Part 1","Circle 1","Circle","Surface best fit 1","Diameter","±1.000",30.000,29.781,-0.219,,"Passed"
"Part 1","Circle 2","Circle","Surface best fit 1","X","±1.000",-668.807,-668.742,0.065,,"Passed"
"Part 1","Circle 2","Circle","Surface best fit 1","Y","±1.000",-275.406,-275.272,0.134,,"Passed"
"Part 1","Circle 2","Circle","Surface best fit 1","Z","±1.000",-31.049,-30.846,0.203,,"Passed"
"Part 1","Circle 2","Circle","Surface best fit 1","Diameter","±1.000",7.000,7.072,0.072,,"Passed"
"Part 2","Distance 1","Distance","Surface best fit 1","Y","±1.000",62.000,61.716,-0.284,,"Passed"
"Part 2","Distance 2","Distance","Surface best fit 1","X","±1.000",165.000,,,,""
"Part 2","Distance 3","Distance","Surface best fit 1","X","±1.000",53.320,63.475,10.155,9.155,"Failed"
"Part 2","Distance 3","Distance","Surface best fit 1","Y","±1.000",10.482,13.279,2.797,1.797,"Failed"
"Part 2","Circle 1","Circle","Surface best fit 1","X","±1.000",-615.487,-615.786,-0.299,,"Passed"
"Part 2","Circle 1","Circle","Surface best fit 1","Y","±1.000",-264.924,-264.880,0.044,,"Passed"
"Part 2","Circle 1","Circle","Surface best fit 1","Z","±1.000",-31.049,-30.737,0.312,,"Passed"
"Part 2","Circle 1","Circle","Surface best fit 1","Diameter","±1.000",30.000,29.555,-0.445,,"Passed"
"Part 2","Circle 2","Circle","Surface best fit 1","X","±1.000",-668.807,-679.261,-10.454,-9.454,"Failed"
"Part 2","Circle 2","Circle","Surface best fit 1","Y","±1.000",-275.406,-278.160,-2.754,-1.754,"Failed"
"Part 2","Circle 2","Circle","Surface best fit 1","Z","±1.000",-31.049,-30.863,0.186,,"Passed"
"Part 2","Circle 2","Circle","Surface best fit 1","Diameter","±1.000",7.000,14.568,7.568,6.568,"Failed"
